Player,Age,Team,Pos,G,GS,MP,FG,FGA,FGPCT,FT,FTA,FTPCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Damian Lillard,33,MIL,PG,73,73,35.3,7.4,17.5,0.424,6.5,7,0.92,0.5,3.9,4.4,7,1,0.2,2.6,1.8,24.3
DeMar DeRozan,34,CHI,SF,79,79,37.8,8.2,17.2,0.48,6.6,7.7,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2,24
Julius Randle,29,NYK,PF,46,46,35.4,8.6,18.2,0.472,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24
LaMelo Ball,22,CHO,PG,22,22,32.3,8.3,19.2,0.433,4.1,4.7,0.865,1.3,3.8,5.1,8,1.8,0.2,3.8,3.6,23.9
Desmond Bane,25,MEM,SG,42,42,34.4,8.6,18.5,0.464,3.3,3.8,0.87,0.9,3.5,4.4,5.5,1,0.5,2.7,2.9,23.7
Kawhi Leonard,32,LAC,SF,68,68,34.3,9,17.1,0.525,3.7,4.2,0.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7
Lauri Markkanen,26,UTA,PF,55,55,33.1,7.8,16.2,0.48,4.5,5,0.899,2.2,5.9,8.2,2,0.9,0.5,1.4,1.8,23.2
Jaylen Brown,27,BOS,SF,70,70,33.5,9,17.9,0.499,3,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,23
Zion Williamson,23,NOP,PF,70,70,31.5,8.9,15.6,0.57,5,7.1,0.702,1.7,4.1,5.8,5,1.1,0.7,2.8,2.3,22.9
Cade Cunningham,22,DET,PG,62,62,33.5,8.5,18.8,0.449,3.8,4.4,0.869,0.5,3.8,4.3,7.5,0.9,0.4,3.4,2.5,22.7
Paolo Banchero,21,ORL,PF,80,80,35,8,17.6,0.455,5.1,7,0.725,1,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6
Paul George,33,LAC,PF,74,74,33.8,7.9,16.7,0.471,3.6,3.9,0.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6
Anfernee Simons,24,POR,SG,46,46,34.4,7.8,18.2,0.43,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6
Jaren Jackson Jr.,24,MEM,C,66,66,32.2,7.8,17.6,0.444,5.1,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6,22.5
Dejounte Murray,27,ATL,SG,78,78,35.7,8.6,18.8,0.459,2.7,3.4,0.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,1.8,22.5
Cam Thomas,22,BRK,SG,66,51,31.4,8,18,0.442,4.3,5.1,0.856,0.4,2.8,3.2,2.9,0.7,0.2,1.9,2.1,22.5
Kyle Kuzma,28,WAS,PF,70,70,32.6,8.7,18.8,0.463,2.7,3.4,0.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2
Karl-Anthony Towns,28,MIN,PF,62,62,32.7,7.7,15.3,0.504,4.1,4.7,0.873,1.5,6.8,8.3,3,0.7,0.7,2.9,3.3,21.8
Pascal Siakam,29,MULTI,PF,80,80,33.2,8.5,15.9,0.536,3.6,5,0.732,1.7,5.3,7.1,4.3,0.8,0.3,1.8,2.4,21.7
Victor Wembanyama,20,SAS,C,71,71,29.7,7.8,16.7,0.465,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4
Jamal Murray,26,DEN,PG,59,59,31.5,8,16.7,0.481,2.7,3.1,0.853,0.7,3.4,4.1,6.5,1,0.7,2.1,1.8,21.2
Alperen Sengun,21,HOU,C,63,63,32.5,8.4,15.6,0.537,3.9,5.6,0.693,2.9,6.4,9.3,5,1.2,0.7,2.6,3.3,21.1
Miles Bridges,25,CHO,SF,69,67,37.4,8.1,17.5,0.462,2.5,3.1,0.825,1,6.3,7.3,3.3,0.9,0.5,2,1.7,21
Jerami Grant,29,POR,PF,54,54,33.9,7.1,15.7,0.451,4.7,5.8,0.817,0.7,2.9,3.5,2.8,0.8,0.6,2.1,2.2,21
Jimmy Butler,34,MIA,PF,60,60,34,6.6,13.2,0.499,6.6,7.7,0.858,1.8,3.6,5.3,5,1.3,0.3,1.7,1.1,20.8
Tyler Herro,24,MIA,SG,42,40,33.5,7.7,17.5,0.441,2.3,2.6,0.856,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8
Brandon Ingram,26,NOP,SF,64,64,32.9,7.8,15.9,0.492,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8
RJ Barrett,23,MULTI,SG,58,58,31.7,7.5,15.2,0.495,3.6,5,0.715,0.9,4.5,5.4,3.3,0.5,0.4,2.2,2.2,20.2
Tyrese Haliburton,23,IND,PG,69,68,32.2,7.2,15.2,0.477,2.8,3.3,0.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1
Kristaps Porziņģis,28,BOS,C,57,57,29.6,6.8,13.2,0.516,4.5,5.3,0.858,1.7,5.5,7.2,2,0.7,1.9,1.6,2.7,20.1
CJ McCollum,32,NOP,PG,66,66,32.7,7.3,16,0.459,1.7,2.1,0.827,0.6,3.7,4.3,4.6,0.9,0.6,1.7,1.9,20
Scottie Barnes,22,TOR,SG,60,60,34.9,7.5,15.7,0.475,3.3,4.2,0.781,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2,19.9
Terry Rozier,29,MULTI,SG,61,60,33.4,7.2,16.4,0.443,2.8,3.2,0.869,0.6,3.5,4,5.6,1,0.3,1.7,1.7,19.8
Franz Wagner,22,ORL,SF,72,72,32.5,7.3,15.2,0.482,3.8,4.4,0.85,1,4.3,5.3,3.7,1.1,0.4,1.9,2.3,19.7
Mikal Bridges,27,BRK,SF,82,82,34.8,6.9,15.8,0.436,3.1,3.9,0.814,0.8,3.7,4.5,3.6,1,0.4,2,1.4,19.6
Jalen Green,21,HOU,SG,82,82,31.7,6.9,16.2,0.423,3.5,4.3,0.804,0.5,4.7,5.2,3.5,0.8,0.3,2.3,1.4,19.6
Zach LaVine,28,CHI,SG,25,23,34.9,6.8,15,0.452,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5
Devin Vassell,23,SAS,SG,68,62,33.1,7.3,15.5,0.472,2.4,3,0.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,19.5
Domantas Sabonis,27,SAC,C,82,82,35.7,7.7,13,0.594,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3,19.4
